affiliation,addr,name,latitude,longitude,id,country,continent
"Quantum Science Center, Oak Ridge, TN 37931, USA","Oak Ridge, TN 37931, USA","Quantum Science Center, Oak Ridge",36.0103562,-84.2696449,32,United States of America,North America
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,33,United States of America,North America
"Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Ecole Polytechnique Fédérale de Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Institute of Physics, Ecole Polytechnique Fédérale de Lausanne (EPFL)",,,34,,
"1) Harvard University, Cambridge, Massachusetts 02138, USA. Email:","Cambridge, Massachusetts 02138, USA. Email:","1) Harvard University, Cambridge",,,35,,
"2) Institute of High Performance Computing, Agency for Science, Technology and Re-","2) Institute of High Performance Computing, Agency for Science, Technology and Re-","2) Institute of High Performance Computing, Agency for Science",,,36,,
"search (A*STAR), 1 Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore. Email:","1 Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore. Email:","search (A*STAR), 1 Fusionopolis Way",,,37,,
"3) Department of Mathematics, Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018,","Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018,","3) Department of Mathematics, Zhejiang Sci-Tech University",30.31545455,120.348695808155,38,,
"Institute for Quantum Computing, Baidu Research, Beijing 100193, China†","Baidu Research, Beijing 100193, China†","Institute for Quantum Computing, Baidu Research",,,39,,
"Department of Particle and Nuclear Physics, University of Geneva, 1211 Geneva, Switzerland","University of Geneva, 1211 Geneva, Switzerland","Department of Particle and Nuclear Physics, University of Geneva",46.1985541,6.1509888,40,Switzerland,Europe
"Department of Physics, University of Trieste, 34127 Trieste, Italy","University of Trieste, 34127 Trieste, Italy","Department of Physics, University of Trieste",,,41,,
"International Centre for Theory of Quantum Technologies,","International Centre for Theory of Quantum Technologies,","International Centre for Theory of Quantum Technologies,",54.3935805,18.5760964,42,Poland,Europe
"University of Gdańsk, Wita Stwosza 63, 80-308 Gdańsk, Poland","Wita Stwosza 63, 80-308 Gdańsk, Poland","University of Gdańsk, Wita Stwosza 63",54.3935303,18.5765053,43,Poland,Europe
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,44,United States of America,North America
"Department of Electrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, USA","UC Berkeley, Berkeley, CA, USA","Department of Electrical Engineering and Computer Sciences, UC Berkeley",37.8753497,-122.239633649188,45,United States of America,North America
"AWS Center for Quantum Computing, Pasadena, CA, USA","Pasadena, CA, USA","AWS Center for Quantum Computing, Pasadena",34.1476452,-118.1444779,46,United States of America,North America
"1) Harvard University, Cambridge, Massachusetts 02138, USA. Email:","Cambridge, Massachusetts 02138, USA. Email:","1) Harvard University, Cambridge",,,47,,
"2) Institute of High Performance Computing, Agency for Science, Technology and Re-","2) Institute of High Performance Computing, Agency for Science, Technology and Re-","2) Institute of High Performance Computing, Agency for Science",,,48,,
"search (A*STAR), 1 Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore. Email:","1 Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore. Email:","search (A*STAR), 1 Fusionopolis Way",,,49,,
"3) Department of Mathematics, Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018,","Zhejiang Sci-Tech University, Hangzhou, Zhejiang 310018,","3) Department of Mathematics, Zhejiang Sci-Tech University",30.31545455,120.348695808155,50,,
"School of Computer Science, Faculty of Engineering, The University of Sydney, Darlington, New South Wales","Faculty of Engineering, The University of Sydney, Darlington, New South Wales","School of Computer Science, Faculty of Engineering",,,51,,
"008, Australia","008, Australia",008,-34.6700166530612,-58.5328121591837,52,Argentina,South America
"Hon Hai Quantum Computing Research Center, Taipei 114, Taiwan","Hon Hai Quantum Computing Research Center, Taipei 114, Taiwan","Hon Hai Quantum Computing Research Center, Taipei 114",,,53,,
"SenseTime Research, Beijing, China","SenseTime Research, Beijing, China","SenseTime Research, Beijing",,,54,,
"Institute of Artificial Intelligence, School of Computer Science, Wuhan University, Hubei 430070, China","School of Computer Science, Wuhan University, Hubei 430070, China","Institute of Artificial Intelligence, School of Computer Science",,,55,,
"JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111",,,56,,
"Pritzker School of Molecular Engineering, The University of Chicago, Chicago, IL 60637, USA","The University of Chicago, Chicago, IL 60637, USA","Pritzker School of Molecular Engineering, The University of Chicago",41.79139685,-87.6008438719354,57,United States of America,North America
"Chicago Quantum Exchange, Chicago, IL 60637, USA","Chicago, IL 60637, USA","Chicago Quantum Exchange, Chicago",41.8755616,-87.6244212,58,United States of America,North America
"Kadanoff Center for Theoretical Physics, The University of Chicago, Chicago, IL 60637, USA","The University of Chicago, Chicago, IL 60637, USA","Kadanoff Center for Theoretical Physics, The University of Chicago",41.79139685,-87.6008438719354,59,United States of America,North America
"qBraid Co., Harper Court 5235, Chicago, IL 60615, USA","Harper Court 5235, Chicago, IL 60615, USA","qBraid Co., Harper Court 5235",,,60,,
"School of Computer Science, Faculty of Engineering,","School of Computer Science, Faculty of Engineering,",School of Computer Science,,,61,,
"The University of Sydney, NSW 2008, Australia","The University of Sydney, NSW 2008, Australia","The University of Sydney, NSW 2008",-33.891747,151.190626709674,62,Australia,Australia
"measurements [11], and the presence of noise [36]. To mit-","measurements [11], and the presence of noise [36]. To mit-",measurements [11],,,63,,
"Institute for Quantum Information and Matter, Caltech, Pasadena, California 91125, USA","Caltech, Pasadena, California 91125, USA","Institute for Quantum Information and Matter, Caltech",34.13701375,-118.125288248796,64,United States of America,North America
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, California 91125, USA","Caltech, Pasadena, California 91125, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,65,United States of America,North America
"Institute for Integrated Circuits, Johannes Kepler University Linz, Linz 4040, Austria","Johannes Kepler University Linz, Linz 4040, Austria","Institute for Integrated Circuits, Johannes Kepler University Linz",48.33609325,14.3205673800329,66,Austria,Europe
"Walter Burke Institute for Theoretical Physics, Caltech, Pasadena, California 91125, USA","Caltech, Pasadena, California 91125, USA","Walter Burke Institute for Theoretical Physics, Caltech",34.13701375,-118.125288248796,67,United States of America,North America
"AWS Center for Quantum Computing, Pasadena, California 91125, USA","Pasadena, California 91125, USA","AWS Center for Quantum Computing, Pasadena",34.1476452,-118.1444779,68,United States of America,North America
"F́ısica Teòrica: Informació i Fenòmens Quàntics, Departament de F́ısica, Universitat Autònoma de Barcelona, 08193 Bel-","Departament de F́ısica, Universitat Autònoma de Barcelona, 08193 Bel-","F́ısica Teòrica: Informació i Fenòmens Quàntics, Departament de F́ısica",,,69,,
"laterra, Spain. marco.fanizza@uab.cat","laterra, Spain. marco.fanizza@uab.cat",laterra,,,70,,
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, 14195 Berlin, Germany. yihuiquek3.14@gmail.com","Freie Universität Berlin, 14195 Berlin, Germany. yihuiquek3.14@gmail.com","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",,,71,,
"Dipartimento di Ingegneria, Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy. matteo.rosati@uniroma3.it","Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy. matteo.rosati@uniroma3.it","Dipartimento di Ingegneria, Universitá “Roma Tre”",,,72,,
" Department of Physical Sciences, Indian Institute of Science Education and Research Kolkata, Mohanpur, Nadia - 741246, West","Indian Institute of Science Education and Research Kolkata, Mohanpur, Nadia - 741246, West"," Department of Physical Sciences, Indian Institute of Science Education and Research Kolkata",22.96363335,88.5258758823642,73,India,Asia
"nstitute of Physics, Faculty of Physics, Astronomy and Informatics, Nicolaus Copernicus University, Grudzia̧dzka","Faculty of Physics, Astronomy and Informatics, Nicolaus Copernicus University, Grudzia̧dzka","nstitute of Physics, Faculty of Physics",,,74,,
"University of Oxford, Oxford, United Kingdom OX1 2JD","University of Oxford, Oxford, United Kingdom OX1 2JD","University of Oxford, Oxford",51.75887905,-1.2596027863019,75,United Kingdom,Europe
"Zapata Computing Canada Inc., 325 Front St W, Toronto, ON, Canada M5V 2Y1","325 Front St W, Toronto, ON, Canada M5V 2Y1","Zapata Computing Canada Inc., 325 Front St W",,,76,,
"Vector Institute, MaRS Centre, Toronto, ON, Canada M5G 1M1","MaRS Centre, Toronto, ON, Canada M5G 1M1","Vector Institute, MaRS Centre",,,77,,
"Department of Physics and Astronomy, University of Waterloo, Waterloo, ON, Canada N2L 3G1","University of Waterloo, Waterloo, ON, Canada N2L 3G1","Department of Physics and Astronomy, University of Waterloo",43.473362,-80.5412782,78,Canada,North America
"tum regime. Oftentimes, memorization is the center of","tum regime. Oftentimes, memorization is the center of",tum regime. Oftentimes,,,79,,
"AWE, Reading, UK.","AWE, Reading, UK.","AWE, Reading",,,80,,
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,81,United States of America,North America
"Department of Mathematics, Technical University of Munich, Garching, Germany.","Technical University of Munich, Garching, Germany.","Department of Mathematics, Technical University of Munich",48.2655696,11.669345610438,82,Germany,Europe
"Munich Center for Quantum Science and Technology (MCQST), Munich, Germany.","Munich Center for Quantum Science and Technology (MCQST), Munich, Germany.","Munich Center for Quantum Science and Technology (MCQST), Munich",,,83,,
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, Berlin, Germany.","Freie Universität Berlin, Berlin, Germany.","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",52.4549616,13.2962740073688,84,Germany,Europe
"Department of Physics & Astronomy, University of Southern California, Los Angeles, CA, USA","University of Southern California, Los Angeles, CA, USA","Department of Physics & Astronomy, University of Southern California",34.0218833,-118.28586662125,85,United States of America,North America
"Institute for Quantum Information and Matter, Caltech, Pasadena, CA, USA.","Caltech, Pasadena, CA, USA.","Institute for Quantum Information and Matter, Caltech",34.13701375,-118.125288248796,86,United States of America,North America
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,87,United States of America,North America
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM, USA.","Los Alamos National Laboratory, Los Alamos, NM, USA.","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,88,United States of America,North America
"Department of Electrical Engineering and Computer Science, MIT","Department of Electrical Engineering and Computer Science, MIT",Department of Electrical Engineering and Computer Science,,,89,,
"vertical, or the cart moves away from the center more than 2.4","vertical, or the cart moves away from the center more than 2.4",vertical,,,90,,
"Munich, Germany","Munich, Germany",Munich,48.1371079,11.5753822,91,Germany,Europe
"Munich, Germany","Munich, Germany",Munich,48.1371079,11.5753822,92,Germany,Europe
"Munich, Germany","Munich, Germany",Munich,48.1371079,11.5753822,93,Germany,Europe
"University Hospital, LMU Munich, Germany","University Hospital, LMU Munich, Germany","University Hospital, LMU Munich",,,94,,
"Munich, Germany","Munich, Germany",Munich,48.1371079,11.5753822,95,Germany,Europe
"Department of Computing and Mathematical Sciences, Caltech, Pasadena, CA, USA","Caltech, Pasadena, CA, USA","Department of Computing and Mathematical Sciences, Caltech",34.13701375,-118.125288248796,96,United States of America,North America
"Department of Electrical Engineering and Computer Sciences, UC Berkeley, Berkeley, CA, USA","UC Berkeley, Berkeley, CA, USA","Department of Electrical Engineering and Computer Sciences, UC Berkeley",37.8753497,-122.239633649188,97,United States of America,North America
"AWS Center for Quantum Computing, Pasadena, CA, USA","Pasadena, CA, USA","AWS Center for Quantum Computing, Pasadena",34.1476452,-118.1444779,98,United States of America,North America
"Theoretical Division (T-4), Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division (T-4), Los Alamos National Laboratory",35.81831485,-106.265427979899,99,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,100,United States of America,North America
"Physics Department, University of Massachusetts Boston, Boston, Massachusetts 02125, USA","University of Massachusetts Boston, Boston, Massachusetts 02125, USA","Physics Department, University of Massachusetts Boston",42.314068,-71.0387132076762,101,United States of America,North America
"Information Sciences, Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Los Alamos National Laboratory, Los Alamos, NM 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,102,United States of America,North America
"School of Computer Science, Faculty of Engineering,","School of Computer Science, Faculty of Engineering,",School of Computer Science,,,103,,
"The University of Sydney, Darlington, NSW 2008, Australia","Darlington, NSW 2008, Australia","The University of Sydney, Darlington",-33.890862,151.1932156,104,Australia,Australia
"JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111, China","JD Explore Academy, Beijing 101111",,,105,,
"scale quantum (NISQ) era [6, 7], Google has experimen-","scale quantum (NISQ) era [6, 7], Google has experimen-","scale quantum (NISQ) era [6, 7]",,,106,,
" Georgia Institute of Technology, USA 2Google, USA","Georgia Institute of Technology, USA 2Google, USA"," Georgia Institute of Technology, USA 2Google",,,107,,
"Kore University of Enna, Italy 4Department of Electronic Systems, NTNU, Trondheim, Norway","Italy 4Department of Electronic Systems, NTNU, Trondheim, Norway","Kore University of Enna, Italy 4Department of Electronic Systems",,,108,,
"Department of Materials, University of Oxford, Parks Road, Oxford OX1 3PH, United Kingdom","University of Oxford, Parks Road, Oxford OX1 3PH, United Kingdom","Department of Materials, University of Oxford",51.7590373,-1.2524298,109,United Kingdom,Europe
"Quantum Motion, 9 Sterling Way, London N7 9HJ, United Kingdom","9 Sterling Way, London N7 9HJ, United Kingdom","Quantum Motion, 9 Sterling Way",51.6163085,-0.0901354,110,United Kingdom,Europe
"Research Center, Defense Innovation Institute, 100071 Beijing, China and","Defense Innovation Institute, 100071 Beijing, China and","Research Center, Defense Innovation Institute",,,111,,
"Tianjin Artificial Intelligence Innovation Center, 300457 Tianjin, China.","Tianjin Artificial Intelligence Innovation Center, 300457 Tianjin, China.","Tianjin Artificial Intelligence Innovation Center, 300457 Tianjin",,,112,,
" Xiaoyu Sun is with The Blackett Laboratory, Imperial College London,","Xiaoyu Sun is with The Blackett Laboratory, Imperial College London,", Xiaoyu Sun is with The Blackett Laboratory,,,113,,
"Tao are with JD Explore Academy, 101111 Beijing, China.","Tao are with JD Explore Academy, 101111 Beijing, China.","Tao are with JD Explore Academy, 101111 Beijing",,,114,,
" Qing Liu is with School of Physical and Mathematical Sciences, Nanyang","Qing Liu is with School of Physical and Mathematical Sciences, Nanyang", Qing Liu is with School of Physical and Mathematical Sciences,,,115,,
"Technological University, 637371, Singapore.","Technological University, 637371, Singapore.","Technological University, 637371",,,116,,
"Laboratory of High Performance Computing, College of Computer Science","Laboratory of High Performance Computing, College of Computer Science",Laboratory of High Performance Computing,,,117,,
"and Technology, National University of Defense Technology, 410073","and Technology, National University of Defense Technology, 410073","and Technology, National University of Defense Technology",,,118,,
"Changsha, China.","Changsha, China.",Changsha,28.1450774,113.2384362,119,China,Asia
" Kaining Zhang, Tongliang Liu are with The University of Sydney,","Kaining Zhang, Tongliang Liu are with The University of Sydney,", Kaining Zhang,,,120,,
"Darlington, NSW 2008, Australia.","Darlington, NSW 2008, Australia.","Darlington, NSW 2008",-33.890862,151.1932156,121,Australia,Australia
" Min-hsiu Hsieh is with Hon Hai (Foxconn) Research Institute, Taipei,","Min-hsiu Hsieh is with Hon Hai (Foxconn) Research Institute, Taipei,", Min-hsiu Hsieh is with Hon Hai (Foxconn) Research Institute,,,122,,
Harvard University,Harvard University,Harvard University,42.36790855,-71.126782374437,123,United States of America,North America
"Fellows, as well as in part by the Department of Energy under grant DE-SC0007870.","Fellows, as well as in part by the Department of Energy under grant DE-SC0007870.",Fellows,,,124,,
"Department of Physics, University of Padova, 35122 Padova PD, Italy","University of Padova, 35122 Padova PD, Italy","Department of Physics, University of Padova",,,125,,
"Department of Particle and Nuclear Physics, University of Geneva, Geneva 1211, Switzerland","University of Geneva, Geneva 1211, Switzerland","Department of Particle and Nuclear Physics, University of Geneva",46.1985541,6.1509888,126,Switzerland,Europe
"International Centre for Theory of Quantum Technologies,","International Centre for Theory of Quantum Technologies,","International Centre for Theory of Quantum Technologies,",54.3935805,18.5760964,127,Poland,Europe
"University of Gdańsk, Wita Stwosza 63, 80-308 Gdańsk, Poland","Wita Stwosza 63, 80-308 Gdańsk, Poland","University of Gdańsk, Wita Stwosza 63",54.3935303,18.5765053,128,Poland,Europe
"Theoretical Division, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Theoretical Division, Los Alamos National Laboratory",35.81831485,-106.265427979899,129,United States of America,North America
"Harvard Quantum Initiative, Harvard University, Cambridge, Massachusetts 02138, USA","Harvard University, Cambridge, Massachusetts 02138, USA","Harvard Quantum Initiative, Harvard University",42.36530955,-71.1154431036783,130,United States of America,North America
"Information Sciences, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Information Sciences, Los Alamos National Laboratory",35.81831485,-106.265427979899,131,United States of America,North America
"Department of Electrical and Computer Engineering,","Department of Electrical and Computer Engineering,","Department of Electrical and Computer Engineering,",36.1530383,-95.9428658,132,United States of America,North America
"University of Illinois at Urbana-Champaign, Urbana, Illinois 61801, USA","Urbana, Illinois 61801, USA","University of Illinois at Urbana-Champaign, Urbana",40.1117174,-88.207301,133,United States of America,North America
"Dipartimento di Fisica e Astronomia, Università di Firenze, Sesto Fiorentino (FI), 50019 , Italy","Università di Firenze, Sesto Fiorentino (FI), 50019 , Italy","Dipartimento di Fisica e Astronomia, Università di Firenze",43.8204263,11.1941665,134,Italy,Europe
"Department of Mathematics, University of California Davis, Davis, California 95616, USA","University of California Davis, Davis, California 95616, USA","Department of Mathematics, University of California Davis",38.5217429,-121.752249350739,135,United States of America,North America
"Center for Nonlinear Studies, Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Los Alamos National Laboratory, Los Alamos, New Mexico 87545, USA","Center for Nonlinear Studies, Los Alamos National Laboratory",35.81831485,-106.265427979899,136,United States of America,North America
"Volkswagen Data:Lab, 80805 Munich, Germany","Volkswagen Data:Lab, 80805 Munich, Germany","Volkswagen Data:Lab, 80805 Munich",,,137,,
"Volkswagen Group of America, Auburn Hills, MI 48326, USA and","Auburn Hills, MI 48326, USA and","Volkswagen Group of America, Auburn Hills",,,138,,
"Leiden University, 2333 CA Leiden, The Netherlands","Leiden University, 2333 CA Leiden, The Netherlands","Leiden University, 2333 CA Leiden",52.16863385,4.45966305742133,139,Netherlands,Europe
"Robotics Research Group, University of Bremen, 28359 Bremen, Germany","University of Bremen, 28359 Bremen, Germany","Robotics Research Group, University of Bremen",53.10796455,8.85566459282837,140,Germany,Europe
"F́ısica Teòrica: Informació i Fenòmens Quàntics, Departament de F́ısica, Universitat Autònoma de Barcelona, 08193 Bel-","Departament de F́ısica, Universitat Autònoma de Barcelona, 08193 Bel-","F́ısica Teòrica: Informació i Fenòmens Quàntics, Departament de F́ısica",,,141,,
"laterra, Spain. marco.fanizza@uab.cat","laterra, Spain. marco.fanizza@uab.cat",laterra,,,142,,
"Dahlem Center for Complex Quantum Systems, Freie Universität Berlin, 14195 Berlin, Germany. yihuiquek3.14@gmail.com","Freie Universität Berlin, 14195 Berlin, Germany. yihuiquek3.14@gmail.com","Dahlem Center for Complex Quantum Systems, Freie Universität Berlin",,,143,,
"Dipartimento di Ingegneria, Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy. matteo.rosati@uniroma3.it","Universitá “Roma Tre”, Via Vito Volterra 62, I-00146 Rome, Italy. matteo.rosati@uniroma3.it","Dipartimento di Ingegneria, Universitá “Roma Tre”",,,144,,
"IBM Quantum, IBM Research","IBM Quantum, IBM Research",IBM Quantum,,,145,,
"advances in quantum hardware by companies such as IBM [5], Google [6] and IonQ [7] pro-","advances in quantum hardware by companies such as IBM [5], Google [6] and IonQ [7] pro-",advances in quantum hardware by companies such as IBM [5],,,146,,
"1) Harvard University, Cambridge, Massachusetts 02138, USA. Email:","Cambridge, Massachusetts 02138, USA. Email:","1) Harvard University, Cambridge",,,147,,
"2) Institute of High Performance Computing, Agency for Science, Technology and Re-","2) Institute of High Performance Computing, Agency for Science, Technology and Re-","2) Institute of High Performance Computing, Agency for Science",,,148,,
"search (A*STAR), 1 Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore. Email:","1 Fusionopolis Way, #16-16 Connexis, Singapore 138632, Singapore. Email:","search (A*STAR), 1 Fusionopolis Way",,,149,,
