lat1,lon1,lat2,lon2,country,continent,name,continent_color,elevation
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder1,#FFFF99,104
38.5217429,-121.752249350739,34.156113,-118.131943,United States of America,North America,placeholder2,#FFFF99,104
43.8204263,11.1941665,34.156113,-118.131943,Italy,Europe,placeholder3,#E41A1C,57
42.36530955,-71.1154431036783,34.156113,-118.131943,United States of America,North America,placeholder4,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder5,#FFFF99,104
36.1530383,-95.9428658,34.156113,-118.131943,United States of America,North America,placeholder6,#FFFF99,104
40.1117174,-88.207301,34.156113,-118.131943,United States of America,North America,placeholder7,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder8,#FFFF99,104
43.4701994,-80.5452429377945,34.156113,-118.131943,Canada,North America,placeholder9,#FFFF99,104
43.4652699,-80.5222961,34.156113,-118.131943,Canada,North America,placeholder10,#FFFF99,104
43.6534817,-79.3839347,34.156113,-118.131943,Canada,North America,placeholder11,#FFFF99,104
51.4989595,-0.175641259787945,34.156113,-118.131943,United Kingdom,Europe,placeholder13,#E41A1C,57
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder14,#FFFF99,104
36.0103562,-84.2696449,34.156113,-118.131943,United States of America,North America,placeholder15,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder17,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder19,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder20,#FFFF99,104
42.36530955,-71.1154431036783,34.156113,-118.131943,United States of America,North America,placeholder21,#FFFF99,104
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder23,#FFFF99,104
37.8753497,-122.239633649188,34.156113,-118.131943,United States of America,North America,placeholder24,#FFFF99,104
34.1476452,-118.1444779,34.156113,-118.131943,United States of America,North America,placeholder25,#FFFF99,104
34.0218833,-118.28586662125,34.156113,-118.131943,United States of America,North America,placeholder28,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder29,#FFFF99,104
54.0107483,-2.78368004317863,34.156113,-118.131943,United Kingdom,Europe,placeholder30,#E41A1C,57
30.40576185,-91.1859745026569,34.156113,-118.131943,United States of America,North America,placeholder32,#FFFF99,104
40.7935818,-77.8687284,34.156113,-118.131943,United States of America,North America,placeholder33,#FFFF99,104
42.4396039,-76.4968019,34.156113,-118.131943,United States of America,North America,placeholder34,#FFFF99,104
36.0103562,-84.2696449,34.156113,-118.131943,United States of America,North America,placeholder35,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder36,#FFFF99,104
30.31545455,120.348695808155,34.156113,-118.131943,"","",placeholder41,#999999,6
46.1985541,6.1509888,34.156113,-118.131943,Switzerland,Europe,placeholder44,#E41A1C,57
54.3935805,18.5760964,34.156113,-118.131943,Poland,Europe,placeholder46,#E41A1C,57
54.3935303,18.5765053,34.156113,-118.131943,Poland,Europe,placeholder47,#E41A1C,57
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder50,#FFFF99,104
37.8753497,-122.239633649188,34.156113,-118.131943,United States of America,North America,placeholder51,#FFFF99,104
34.1476452,-118.1444779,34.156113,-118.131943,United States of America,North America,placeholder52,#FFFF99,104
30.31545455,120.348695808155,34.156113,-118.131943,"","",placeholder58,#999999,6
-34.6700166530612,-58.5328121591837,34.156113,-118.131943,Argentina,South America,placeholder61,#4DAF4A,3
41.79139685,-87.6008438719354,34.156113,-118.131943,United States of America,North America,placeholder66,#FFFF99,104
41.8755616,-87.6244212,34.156113,-118.131943,United States of America,North America,placeholder67,#FFFF99,104
41.79139685,-87.6008438719354,34.156113,-118.131943,United States of America,North America,placeholder68,#FFFF99,104
-33.891747,151.190626709674,34.156113,-118.131943,Australia,Australia,placeholder71,#FDDAEC,8
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder73,#FFFF99,104
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder74,#FFFF99,104
48.33609325,14.3205673800329,34.156113,-118.131943,Austria,Europe,placeholder75,#E41A1C,57
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder76,#FFFF99,104
34.1476452,-118.1444779,34.156113,-118.131943,United States of America,North America,placeholder77,#FFFF99,104
22.96363335,88.5258758823642,34.156113,-118.131943,India,Asia,placeholder82,#7570B3,34
51.75887905,-1.2596027863019,34.156113,-118.131943,United Kingdom,Europe,placeholder85,#E41A1C,57
43.473362,-80.5412782,34.156113,-118.131943,Canada,North America,placeholder88,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder91,#FFFF99,104
48.2655696,11.669345610438,34.156113,-118.131943,Germany,Europe,placeholder92,#E41A1C,57
52.4549616,13.2962740073688,34.156113,-118.131943,Germany,Europe,placeholder94,#E41A1C,57
34.0218833,-118.28586662125,34.156113,-118.131943,United States of America,North America,placeholder95,#FFFF99,104
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder96,#FFFF99,104
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder97,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder98,#FFFF99,104
48.1371079,11.5753822,34.156113,-118.131943,Germany,Europe,placeholder105,#E41A1C,57
48.1371079,11.5753822,34.156113,-118.131943,Germany,Europe,placeholder106,#E41A1C,57
48.1371079,11.5753822,34.156113,-118.131943,Germany,Europe,placeholder107,#E41A1C,57
48.1371079,11.5753822,34.156113,-118.131943,Germany,Europe,placeholder110,#E41A1C,57
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder112,#FFFF99,104
37.8753497,-122.239633649188,34.156113,-118.131943,United States of America,North America,placeholder113,#FFFF99,104
34.1476452,-118.1444779,34.156113,-118.131943,United States of America,North America,placeholder114,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder117,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder118,#FFFF99,104
42.314068,-71.0387132076762,34.156113,-118.131943,United States of America,North America,placeholder119,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder120,#FFFF99,104
-33.890862,151.1932156,34.156113,-118.131943,Australia,Australia,placeholder123,#FDDAEC,8
51.7590373,-1.2524298,34.156113,-118.131943,United Kingdom,Europe,placeholder131,#E41A1C,57
51.5468058,-0.1186598,34.156113,-118.131943,United Kingdom,Europe,placeholder132,#E41A1C,57
28.1450774,113.2384362,34.156113,-118.131943,China,Asia,placeholder142,#7570B3,34
-33.890862,151.1932156,34.156113,-118.131943,Australia,Australia,placeholder144,#FDDAEC,8
42.36790855,-71.126782374437,34.156113,-118.131943,United States of America,North America,placeholder146,#FFFF99,104
46.1985541,6.1509888,34.156113,-118.131943,Switzerland,Europe,placeholder152,#E41A1C,57
54.3935805,18.5760964,34.156113,-118.131943,Poland,Europe,placeholder153,#E41A1C,57
54.3935303,18.5765053,34.156113,-118.131943,Poland,Europe,placeholder154,#E41A1C,57
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder155,#FFFF99,104
42.36530955,-71.1154431036783,34.156113,-118.131943,United States of America,North America,placeholder156,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder157,#FFFF99,104
36.1530383,-95.9428658,34.156113,-118.131943,United States of America,North America,placeholder158,#FFFF99,104
40.1117174,-88.207301,34.156113,-118.131943,United States of America,North America,placeholder159,#FFFF99,104
43.8204263,11.1941665,34.156113,-118.131943,Italy,Europe,placeholder160,#E41A1C,57
38.5217429,-121.752249350739,34.156113,-118.131943,United States of America,North America,placeholder161,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder162,#FFFF99,104
52.16863385,4.45966305742133,34.156113,-118.131943,Netherlands,Europe,placeholder165,#E41A1C,57
53.10796455,8.85566459282837,34.156113,-118.131943,Germany,Europe,placeholder166,#E41A1C,57
30.31545455,120.348695808155,34.156113,-118.131943,"","",placeholder177,#999999,6
-23.47613425,-46.8578693281882,34.156113,-118.131943,Brazil,South America,placeholder188,#4DAF4A,3
51.4989595,-0.175641259787945,34.156113,-118.131943,United Kingdom,Europe,placeholder195,#E41A1C,57
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder196,#FFFF99,104
36.0103562,-84.2696449,34.156113,-118.131943,United States of America,North America,placeholder197,#FFFF99,104
48.2655696,11.669345610438,34.156113,-118.131943,Germany,Europe,placeholder202,#E41A1C,57
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder204,#FFFF99,104
34.13701375,-118.125288248796,34.156113,-118.131943,United States of America,North America,placeholder205,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder206,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder207,#FFFF99,104
38.99041245,-76.9438585924238,34.156113,-118.131943,United States of America,North America,placeholder209,#FFFF99,104
36.0103562,-84.2696449,34.156113,-118.131943,United States of America,North America,placeholder210,#FFFF99,104
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder211,#FFFF99,104
51.4989595,-0.175641259787945,34.156113,-118.131943,United Kingdom,Europe,placeholder213,#E41A1C,57
35.81831485,-106.265427979899,34.156113,-118.131943,United States of America,North America,placeholder214,#FFFF99,104
36.0103562,-84.2696449,34.156113,-118.131943,United States of America,North America,placeholder215,#FFFF99,104
50.7371282,-3.5369048,34.156113,-118.131943,United Kingdom,Europe,placeholder218,#E41A1C,57
51.5050819,-0.0176613,34.156113,-118.131943,United Kingdom,Europe,placeholder219,#E41A1C,57
48.53550375,9.05792173852176,34.156113,-118.131943,Germany,Europe,placeholder221,#E41A1C,57
52.1693239,4.4571019,34.156113,-118.131943,Netherlands,Europe,placeholder222,#E41A1C,57
52.4549616,13.2962740073688,34.156113,-118.131943,Germany,Europe,placeholder223,#E41A1C,57
52.4101021,13.1297326740937,34.156113,-118.131943,Germany,Europe,placeholder224,#E41A1C,57
52.51644635,13.3248774529055,34.156113,-118.131943,Germany,Europe,placeholder225,#E41A1C,57
-33.890862,151.1932156,34.156113,-118.131943,Australia,Australia,placeholder227,#FDDAEC,8
1.2970694,103.7800945,34.156113,-118.131943,Singapore,Asia,placeholder228,#7570B3,34
1.2969274,103.778780111151,34.156113,-118.131943,Singapore,Asia,placeholder230,#7570B3,34
41.79139685,-87.6008438719354,34.156113,-118.131943,United States of America,North America,placeholder234,#FFFF99,104
41.8755616,-87.6244212,34.156113,-118.131943,United States of America,North America,placeholder235,#FFFF99,104
41.79139685,-87.6008438719354,34.156113,-118.131943,United States of America,North America,placeholder236,#FFFF99,104
38.99041245,-76.9438585924238,34.156113,-118.131943,United States of America,North America,placeholder239,#FFFF99,104
47.30918255,8.54474336145566,34.156113,-118.131943,Switzerland,Europe,placeholder240,#E41A1C,57
-33.8698439,151.2082848,34.156113,-118.131943,Australia,Australia,placeholder254,#FDDAEC,8
30.53735405,114.361520319171,34.156113,-118.131943,China,Asia,placeholder257,#7570B3,34
43.4701994,-80.5452429377945,34.156113,-118.131943,Canada,North America,placeholder262,#FFFF99,104
43.4652699,-80.5222961,34.156113,-118.131943,Canada,North America,placeholder263,#FFFF99,104
